date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:48	199821/199821	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:51%20GMT	https://www.excaltech.com/4-game-changing-virtual-reality-technologies/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/4-game-changing-virtual-reality-technologies/index.html	(from https://www.excaltech.com/sitemap/)
00:32:48	200114/200114	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:51%20GMT	https://www.excaltech.com/star-wars-shaped-technology/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/star-wars-shaped-technology/index.html	(from https://www.excaltech.com/sitemap/)
00:32:50	13060/13060	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Oct%202021%2018:10:22%20GMT	https://www.excaltech.com/wp-content/uploads/Computer-Chip-Shortage-Windows-11.jpg	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/wp-content/uploads/Computer-Chip-Shortage-Windows-11.jpg	(from https://www.excaltech.com/chip-shortage-windows-11/)
00:32:52	198705/198705	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:56%20GMT	https://www.excaltech.com/bet-cant-read-word-article/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/bet-cant-read-word-article/index.html	(from https://www.excaltech.com/sitemap/)
00:32:53	200822/200822	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:57%20GMT	https://www.excaltech.com/top-3-technologies-selfie-takers/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/top-3-technologies-selfie-takers/index.html	(from https://www.excaltech.com/sitemap/)
00:32:53	195224/195224	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:57%20GMT	https://www.excaltech.com/hdmi-stick-pcs-smallest-full-pc-available/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/hdmi-stick-pcs-smallest-full-pc-available/index.html	(from https://www.excaltech.com/sitemap/)
00:32:54	194402/194402	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:02:58%20GMT	https://www.excaltech.com/fun-windows-93-blast/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/fun-windows-93-blast/index.html	(from https://www.excaltech.com/sitemap/)
00:32:55	7952/7952	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Mar%202023%2019:02:59%20GMT	https://www.excaltech.com/wp-json/wp/v2/posts/82373	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/wp-json/wp/v2/posts/82373.json	(from https://www.excaltech.com/chip-shortage-windows-11/)
00:32:57	195269/195269	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:03:01%20GMT	https://www.excaltech.com/remote-wipe-hard-drive-text-message/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/remote-wipe-hard-drive-text-message/index.html	(from https://www.excaltech.com/sitemap/)
00:32:58	194569/194569	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Mar%202023%2019:03:02%20GMT	https://www.excaltech.com/smartwatch-roundup-iwatch-future/	C:/Users/Sudarshan%20N/Desktop/clonesite/web/www.excaltech.com/smartwatch-roundup-iwatch-future/index.html	(from https://www.excaltech.com/sitemap/)
